k,j,RSS,RSS_normalized
26,5,6809484.947521292,0.5291820216811107
27,5,6793841.342264924,0.5279663181852158
28,5,6780288.053613414,0.526913058394746
29,5,6612518.188143276,0.5138752446289673
30,5,6727497.010635861,0.5228105350666512
1,6,12792029.00143119,1.0
2,6,11752909.113060901,0.9187681728790617
3,6,10971457.653632905,0.8576792354368024
4,6,10669676.925256293,0.8340879249150042
5,6,9906542.14414401,0.7744308696482515
6,6,9398076.058180569,0.7346822038262343
7,6,9125563.97748396,0.7133789312440567
8,6,9145243.664319789,0.7149173648134012
9,6,8768920.639673743,0.6854988085699825
10,6,8520116.23383977,0.6660488522099605
11,6,8194679.7010781625,0.6406082803722014
12,6,8059718.359360439,0.6300578554394074
13,6,7756666.535486072,0.6063671787031006
14,6,7682092.675965645,0.6005374655659522
15,6,7671649.601883186,0.5997210920194812
16,6,7450030.632878351,0.5823963213376729
17,6,7475286.249880556,0.584370645895519
18,6,7346121.201963242,0.5742733385877524
19,6,7312996.240921917,0.5716838384359298
20,6,7127902.840462573,0.557214405913643
21,6,7074995.217923838,0.5530784222840862
22,6,7081010.8443549145,0.5535486859483105
23,6,7067982.74023758,0.5525302310874064
24,6,6947685.127628909,0.543126123842558
25,6,6852395.335954293,0.5356769700246644
26,6,6826990.887779994,0.5336910107861842
27,6,6738565.631178226,0.52677848294624
28,6,6653824.644413743,0.5201539680428573
29,6,6604662.086686258,0.5163107499167896
30,6,6566047.23832158,0.5132920850622651
1,7,12826437.80431158,1.0
2,7,11863727.933537278,0.9249433174306051
3,7,11385667.289251875,0.8876718121554067
4,7,10582860.893831164,0.8250818391895026
5,7,10419330.34323257,0.8123323484038675
6,7,9761399.921914335,0.7610374813990103
7,7,9205969.30537519,0.7177339060016042
8,7,8997381.38286931,0.7014715636671048
9,7,8551902.863992075,0.6667402902088194
10,7,8410388.39863034,0.6557072608111978
11,7,8132994.18367906,0.6340805068220244
12,7,8074141.3030976225,0.6294921026618565
13,7,7842858.474070582,0.6114603753377436
14,7,7753538.24873026,0.6044966160537515
15,7,7638121.645722698,0.5954982795889877
16,7,7688389.400315157,0.5994173532522585
17,7,7407136.491498035,0.5774897601739544
18,7,7327907.1567648295,0.5713127267729446
19,7,7262390.268607518,0.5662047701323809
20,7,7322389.172873733,0.5708825228476395
21,7,7398121.580827826,0.5767869219574716
22,7,7334613.281083995,0.571835562841811
23,7,7243627.122379422,0.5647419207805687
24,7,7213577.620661897,0.5623991423586889
25,7,7190002.814028135,0.5605611568639292
26,7,7166485.226538418,0.558727632400745
27,7,7094926.4906402845,0.5531486293299095
28,7,7039488.2164167315,0.5488264414341465
29,7,7028715.264260462,0.5479865393256556
30,7,6921776.29260638,0.5396491526493536
1,8,12801749.484100679,1.0
2,8,11851929.296015745,0.9258054386031709
3,8,11008980.302780535,0.8599590482889311
4,8,11258562.477000067,0.8794549909746948
5,8,9885270.108761782,0.7721811867228724
6,8,9553822.480347963,0.7462903794683277
7,8,9215897.689606538,0.719893613060649
8,8,8848403.47366027,0.69118705100812
9,8,8758130.711705761,0.6841354552815653
10,8,8719274.806868494,0.6811002525629427
11,8,8058112.688775036,0.6294540210135284
12,8,8142124.702653476,0.6360165626397944
13,8,7805057.552693373,0.6096867902615168
14,8,7730103.4871979235,0.603831804145085
15,8,7663251.848583612,0.5986097336228224
16,8,7597854.406784568,0.593501256700956
17,8,7627582.89444085,0.5958234774015879
18,8,7475537.331150771,0.5839465410907412
19,8,7429314.13038795,0.5803358470351959
20,8,7363578.880320438,0.5752009824489803
21,8,7299622.234318876,0.570205052316072
22,8,6981434.694466012,0.545350047908429
23,8,7306867.047482686,0.5707709759949261
24,8,6850565.176008835,0.5351272640131722
25,8,7043700.931224017,0.5502139328669137
26,8,6724713.501629725,0.5252964456132798
